donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,.github/ISSUE_TEMPLATE/bug_report.yml,d10b33e57b5187bc27aee448756836052bf982da685d61244b5f1bad5ee2995c,1227,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/ISSUE_TEMPLATE/feature_request.yml,a71aa8037f127261c75e30ccc7a68425713dabe0e6e7a5da689dc5400331bbbb,649,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/pull_request_template.md,fbcecb705332c10da7408200a7569f9439cac3fb38f99a4b6bfff014e76df6b0,231,md,markdown,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/caliber-score.yml,6a21bd204544dced57e24ae8f3baa5f693c5da9c825800bc87936a56d7c4e8ca,777,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/ci.yml,109303ef9f27d8a8a0c8d26641570e43c61a3cf7b6c36461a61193026ef1a10f,1284,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/cleanup-branches.yml,b8527f1be654adb84085e99cf0d5b995dd7a9a6f44f003e173ca44402c14a0bc,829,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/notify-slack.yml,ad88a4c6fb8b4864b296ef9a87db33a8faf60704513cfaa8be4d3fbcea2ef680,873,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/pr-size.yml,fedb299d8388e712c166dc9835b74adb3b5716b97e1e724cf5e739e45297e4ce,2875,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/publish-next.yml,ec64025116e99ec4f80fc8471f11faa31623bf5d73ce3a2d6c3a24dd909b2d32,2033,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
ai-setup,.github/workflows/publish.yml,ae1d6ef646bce5e0f879eba69701a6497d6985a1fde3a47a678061b290c54be3,7423,yml,yaml,repository-administration,authoritative-or-review-required,CAL-ROOT,
